Rank,Country/Territory,GDP(US$million),Debt(% of GDP),Budget Balance(% of GDP),Political Stability,Industrial Production,Current Account(% of GDP),Unemployment,Retail Sales,Real GDP(% Growth),Interest Rate(%),Infalation ( CPI % Change),FX Reserves(% vs year ago),Trade Balance(% of GDP),Default Risk
1,United States,21439453,135.98259,-27.392042,-5,-14.362493,-1.9331819,13,-3.52437,-9.139623,1,0.44049025,4.7170825,-4.4554105,Satisfactory
2,China,14140163,20.521364,-4.371875,-20,4.390487,0.00283377,5.7,-3.8425415,3.2,2,2.72193,-0.1716746,4.3832836,Fairly High
3,Japan,5154475,229.33276,-2.2504203,4,-19.448051,1.6800592,2.7666667,-9.228784,-10.063012,1,0.098264,3.830044,-1.6188705,Low
4,Germany,3863344,61.328594,-0.20266008,4,-18.559378,4.8742833,4.1666665,3.0329542,-11.256912,1,0.7602154,3.0124755,3.3381324,Satisfactory
5,India,2935570,44.401325,-17.393105,1,-35.48057,0.07576964,5.8,-,-23.922125,32,5.2016983,16.297499,-12.980777,Fairly High
6,United Kingdom,2743586,111.31823,-26.39486,3,-18.793274,-3.8379376,3.9,-12.730465,-21.717943,21,0.64935064,5.908856,-2.7239382,Reasonable
7,France,2707074,105.010895,-6.393413,3,-23.167463,-4.388624,7.1,-12.8945,-18.906446,10,0.31061867,8.722598,-3.9923575,Satisfactory
8,Italy,1988636,149.7501,-10.842671,0,-25.907227,1.0776505,8.289565,-13.5992155,-17.744722,1.25,-0.12940796,4.3270717,2.588622,Fairly High
9,Brazil,1847020,93.06874,-,-3,-18.955063,2.006957,12.7,-4.9832964,-11.435538,1.25,2.1363606,-10.418764,5.5963764,High
10,Canada,1730914,54.032402,-21.488161,4,-2.3216777,-1.7340574,13,-14.575082,-13.013588,1.25,0.09815951,1.132072,-0.53905386,Satisfactory
11,Russia,1637892,14.359922,-0.68489665,-20,-7.7212806,5.763016,6.0333333,-13.706463,-12.228241,1,3.1134856,4.7872696,5.640599,High
12,"Korea, South",1629532,,,1,-2.5,#N/A,#N/A,#N/A,-2.7,1.02,0.7,4.35,0.025,Satisfactory
13,Spain,1397870,102.12881,-16.231005,0,-24.363363,0.51413566,13.8,-19.901825,-22.09922,1.05,-0.6581583,0.34836766,0.036115732,Satisfactory
14,Australia,1376255,119.4,-3.73,2,-2.5,0.2,6.8,3.2,-6.3,0.55,-1.9,0.345,0.2,Satisfactory
15,Mexico,1274175,64.98016,-6.442103,2,-25.738157,0.002252518,3.5412936,-21.401186,-18.679111,1,2.7726624,5.2390456,-1.2996812,High
16,Indonesia,1111713,30.106274,-1.5882332,-1,3.6235347,-1.1698942,4.99,-18.254524,-5.3246284,2,2.0162735,5.781466,1.1684564,Reasonable
17,Netherlands,902355,49.52397,4.36887,1,-7.827789,11.353852,3.7666667,6.0614767,-9.153345,1,1.3118984,5.8211794,5.5232406,Low
18,Saudi Arabia,779289,22.019663,-15.692229,-25,-10.293301,1.5405632,5.6694593,-,-1.0066059,1,0.9569378,-12.914233,10.602016,High
19,Turkey,743708,39.392525,-7.170028,-15,-16.831238,-7.86858,13.033334,-11.940237,-9.906196,32,11.652032,-35.935173,-7.1690493,High
20,Switzerland,715360,29.401388,1.3605607,4,-8.549223,10.084593,3.1905193,-3.7817883,-9.390227,21,-1.2209806,15.115191,6.1868124,Satisfactory
21,Taiwan,586104,28.693151,-0.90875673,-1,4.821445,13.797585,4.076667,-5.7550225,2.4028273,10,-0.83322567,4.6517005,7.4954233,Satisfactory
21,Poland,565854,52.266037,-1.4792191,-3,-13.934199,0,5.9666667,-11.033334,5.049994,1,3.1722336,8.046729,3.5247169,Reasonable
22,Thailand,529177,43.74284,-11.4462385,-1,-20.37384,-0.7432498,1.0633334,-24.95732,-12.139907,2,-2.6660626,11.458824,5.470861,Reasonable
23,Sweden,528929,35.251266,-7.000183,2,-13.706794,5.192624,6.9,0.5768063,-7.7368855,1,0.11160603,-11.488302,1.0023737,Low
24,Belgium,517609,107.08877,-1.8824537,2,6.1698227,1.3441913,5.2,-2.787005,-14.402235,1,0.5478865,3.846291,3.0628192,Satisfactory
25,Iran,458500,#N/A,#N/A,-50,#N/A,#N/A,#N/A,#N/A,#N/A,32,#N/A,#N/A,#N/A,Extreme
26,Austria,447718,73.92585,-2.6551268,0,-15.204679,5.208878,11.456078,-,-12.949778,21,1.09375,-4.9334383,-0.7153428,Low
27,Nigeria,446543,24.413359,-2.9434268,-20,26.268232,-5.020972,23.13199,-,-6.0411158,10,12.435596,-19.98854,-0.38988936,Very High
28,Argentina,445469,81.65459,-13.721214,-10,1.9628282,-0.4314309,10.4,49.773964,-5.2925496,1,42.54525,-35.976303,3.2144234,Very High
29,Norway,417627,40.13941,-14.162646,0,4.6483426,2.5388095,4.633333,12.065316,-5.3312907,2,1.1452682,6.9566765,-1.031415,Low
30,United Arab Emirates,405771,-,-,-4,-,7.11855,2.2,-,-0.28045094,1,-2.3089244,-8.266246,-47.960354,Reasonable
32,Ireland,384940,58.236877,-3.5430477,0,-1.5416238,13.511041,4.866667,-25.109581,-3.7256117,1,-0.32552084,7.4233456,21.018167,Reasonable
32,Hong Kong,372989,-,-17.088598,-10,-5.093046,-1.3398025,5.766667,-31.41735,-8.992656,32,1.3361676,-0.95859355,-11.038467,Satisfactory
33,Malaysia,365303,70.72693,-3.6995287,-10,-17.900595,2.5028803,5.1,-,-17.07243,21,-2.5556471,0.2190173,9.144625,Reasonable
34,Singapore,362818,164.21811,-22.563148,1,-0.8655883,17.234219,2.8,-39.78709,-11.860541,10,-0.7078715,14.083561,10.705322,Satisfactory
35,South Africa,358839,80.097565,-15.156171,-1,-32.664474,-2.410255,30.1,-20.261234,-17.212736,1,2.409997,2.4414434,2.74342,High
36,Philippines,356814,54.535664,-11.426295,-6,-28.16635,0.1050673,17.7,-,-16.481321,2,2.2543836,11.100875,-3.8218536,Fairly High
37,Denmark,347176,36.506836,-0.12693845,0,-9.812536,8.179446,5.1666665,3.1884058,-8.158822,1,0.09702458,-2.0716536,3.761377,Low
38,Colombia,327895,50.0543,0.7240161,-5,-21.527477,-2.922967,20.33427,-,3.2814507,1,2.8509128,9.371548,-4.3310213,Fairly High
39,Bangladesh,317465,-,-,-15,5.798503,-1.3324953,-,-,5.2402186,32,5.779254,9.846807,-,High
40,Egypt,302256,78.70739,13.024103,-20,1.9216003,-3.1589203,9.6,-,5.0041018,21,5.453952,-18.880465,-10.688364,Fairly High
41,Chile,294237,27.294239,-10.3948145,5,-9.4935465,2.0560613,10.816023,-28.205612,-13.682773,10,2.9324267,-7.9161725,2.4438612,Reasonable
42,Pakistan,284214,-,-,-50,-24.825413,-0.8048659,3.6043,-,0.5255274,10,8.904651,38.030197,-9.002726,Very High
43,Finland,269654,64.6977,-1.545409,1,-4.9094095,-2.7161734,6.9333334,4.4171777,-6.3177104,1,-0.17412615,-2.7125943,-0.56685925,Low
44,Vietnam,261637,-,-,-1,-4.9441514,-0.5432236,2.51,-,0.25127333,2,2.825932,30.28474,-1.8499851,Fairly High
45,Czech Republic,246953,30.907389,-4.5394635,1,-22.93484,0.56095976,2,-11.117196,-10.956226,1,3.1134403,3.1356943,0.5903261,Reasonable
46,Romania,243698,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,1,2.8,#N/A,,Fairly High
47,Portugal,236408,121.5602,-24.580395,0,-23.691442,-1.6848875,6.7,-15.646258,-16.27968,32,-0.2726436,-34.21414,-6.3460855,Satisfactory
48,Peru,228989,38.872097,-6.8933063,-5,-30.245825,-0.30831155,12.8,-23.002573,-30.235806,21,1.7010975,12.069064,3.8952947,Reasonable
49,Iraq,224462,0.6947027,7.02926,-50,0.88495576,9.665052,-,-,-0.58810025,10,0.32010242,1.1609412,7.4871264,Extreme
50,Greece,214012,198.73502,-18.7059,,-7.62023,-8.753851,17.133333,-12.02636,-15.268823,1,-1.3827702,49.63017,-9.353447,Fairly High
51,New Zealand,204671,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,2,#N/A,#N/A,#N/A,Low
52,Qatar,191849,30.698597,-0.24387708,,-3.9284573,3.182108,0.10537897,-,-0.56365013,1,-0.75872535,5.3425,21.806892,Reasonable
53,Algeria,172781,-,-9.529009,,-,-9.515163,11.2,-,0.8,1,2.304518,-21.002878,-,Very High
54,Hungary,170407,76.12643,1.0362985,,-25.687864,-0.013323994,3.5,-3.2285478,-13.507244,2,2.4875875,9.139937,0.7583711,Reasonable
55,Kazakhstan,170326,-,-,,-,5.271567,5,-,4.074176,1,6.8333335,1.5562993,8.230456,Fairly High
56,Ukraine,150401,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,1,#N/A,#N/A,#N/A,Very High
57,Kuwait,137591,4.9662795,-,,-,12.697647,2.2,-,-1.0083035,32,1.8480493,4.337084,19.97919,Reasonable
58,Morocco,119040,67.041466,-3.6738236,,-21.38528,-3.4205925,12.3,-,0.08392595,21,-0.25781825,20.859194,-17.545574,Fairly High
